f,s11r,s11c,s12r,s12c,e,f,g,h
626167,-0.104581376,0.029814866,0.88904768,-0.102740592,0,0,0,0
630068,-0.104523632,0.029833252,0.888879424,-0.102911024,0,0,0,0
633968,-0.104567256,0.029681006,0.888910016,-0.103086112,0,0,0,0
637869,-0.104617856,0.02960419,0.888671936,-0.103271168,0,0,0,0
641769,-0.104431416,0.02967086,0.888723648,-0.103423992,0,0,0,0
645670,-0.104484384,0.029615076,0.88862112,-0.103799352,0,0,0,0
649570,-0.104594168,0.029663936,0.888468864,-0.10419208,0,0,0,0
653471,-0.104633176,0.029540264,0.888642176,-0.104266448,0,0,0,0
657372,-0.10453356,0.02949088,0.888706944,-0.104584352,0,0,0,0
661272,-0.104328056,0.029466844,0.888739392,-0.104623336,0,0,0,0
665173,-0.104429392,0.029471126,0.88868128,-0.104985064,0,0,0,0
669073,-0.104590168,0.029401624,0.88859072,-0.105457656,0,0,0,0
672974,-0.104661064,0.029356404,0.888428032,-0.105473344,0,0,0,0
672974,-0.10455304,0.0294008,0.888455616,-0.105553592,0,0,0,0
682252,-0.104662312,0.029407566,0.888191872,-0.105933488,0,0,0,0
691531,-0.104681592,0.029303994,0.888368832,-0.10663592,0,0,0,0
700809,-0.104544832,0.029320642,0.888138112,-0.106997704,0,0,0,0
710088,-0.1047086,0.029127598,0.888207936,-0.1079766,0,0,0,0
719366,-0.104592376,0.028988028,0.888109056,-0.108106272,0,0,0,0
728644,-0.104693136,0.02892454,0.887948544,-0.108679304,0,0,0,0
737923,-0.104743,0.028822806,0.88770912,-0.10919816,0,0,0,0
747201,-0.104726048,0.02898187,0.887761152,-0.109922136,0,0,0,0
756480,-0.104860064,0.028686954,0.88765888,-0.11040364,0,0,0,0
765758,-0.104667536,0.028607378,0.887521792,-0.111031088,0,0,0,0
775037,-0.104740008,0.028636002,0.887474944,-0.111437288,0,0,0,0
784315,-0.104667584,0.028458524,0.887432256,-0.11214084,0,0,0,0
793593,-0.104829368,0.028096758,0.887141632,-0.112383848,0,0,0,0
802872,-0.104707152,0.02828632,0.887199104,-0.113161224,0,0,0,0
812150,-0.104797952,0.028242464,0.887191552,-0.113511136,0,0,0,0
821429,-0.104892632,0.027976494,0.887201536,-0.113985592,0,0,0,0
830707,-0.104869264,0.027984076,0.887120128,-0.114463336,0,0,0,0
839985,-0.104933512,0.027900216,0.886670336,-0.115056376,0,0,0,0
849264,-0.104926608,0.027790426,0.886791616,-0.11549056,0,0,0,0
858542,-0.104981664,0.027598812,0.886733184,-0.11602908,0,0,0,0
867821,-0.104862624,0.027394542,0.886660288,-0.116618608,0,0,0,0
877099,-0.105146728,0.027426356,0.886433216,-0.117309528,0,0,0,0
886377,-0.105148792,0.027350196,0.886472128,-0.117664352,0,0,0,0
895656,-0.105003896,0.027208874,0.88633632,-0.118230056,0,0,0,0
904934,-0.104969504,0.027114064,0.88618976,-0.11866828,0,0,0,0
914213,-0.105024424,0.02702133,0.88618944,-0.119290688,0,0,0,0
923491,-0.10500176,0.02697183,0.886148416,-0.119706152,0,0,0,0
